iter	Logloss
0	0.669252345
1	0.64903126
2	0.6235624523
3	0.6040728168
4	0.5845051652
5	0.5659696219
6	0.5496192131
7	0.5367227121
8	0.5200033481
9	0.5051474321
10	0.4926639447
11	0.4791873706
12	0.4668435366
13	0.456574274
14	0.4472539296
15	0.4336614708
16	0.4226011908
17	0.4125846369
18	0.4013140545
19	0.3909019724
20	0.3847325261
21	0.3766751759
22	0.3689554324
23	0.3631255169
24	0.3550576233
25	0.3499108783
26	0.3452435013
27	0.3396066326
28	0.3322051325
29	0.3267580943
30	0.3191914363
31	0.3130371993
32	0.3076571434
33	0.3040013875
34	0.2980936788
35	0.2945288628
36	0.2899084943
37	0.285850781
38	0.2822209653
39	0.2785505681
40	0.2745101256
41	0.2696225284
42	0.2662885176
43	0.2607866242
44	0.2578443207
45	0.2534197664
46	0.2490119038
47	0.2459181446
48	0.2419490347
49	0.2392939758
50	0.2345173927
51	0.2305063388
52	0.2275848836
53	0.2240769031
54	0.2213639223
55	0.2180061183
56	0.2158689808
57	0.2127314251
58	0.2102582739
59	0.2065326139
60	0.2041433854
61	0.2010873152
62	0.1989271937
63	0.195800804
64	0.1938833465
65	0.1923534706
66	0.1894627217
67	0.1881692851
68	0.1846232433
69	0.1830993664
70	0.1794280615
71	0.1778416028
72	0.1756783907
73	0.1732094187
74	0.1707312739
75	0.1681958008
76	0.1663035634
77	0.1645291735
78	0.1623176923
79	0.1603943854
80	0.1593544105
81	0.1583860217
82	0.1554847848
83	0.1540828104
84	0.1521345327
85	0.1505421558
86	0.1483910544
87	0.146468242
88	0.144614407
89	0.1424293304
90	0.1409384056
91	0.1390884408
92	0.137815852
93	0.1362756939
94	0.1343581153
95	0.1324732013
96	0.1312060804
97	0.1301063551
98	0.1289168924
99	0.1274361093
100	0.1265534762
101	0.1249019582
102	0.1234433928
103	0.1225971488
104	0.1212654997
105	0.1192752413
106	0.1183835445
107	0.1175978997
108	0.1155107047
109	0.113508888
110	0.1122940754
111	0.1106389256
112	0.1091082184
113	0.1080011735
114	0.1071880854
115	0.1066238048
116	0.1058461868
117	0.1047315396
118	0.1039692271
119	0.1025092797
120	0.1014164667
121	0.10071265
122	0.09951669577
123	0.09872387578
124	0.09762944935
125	0.09691924267
126	0.09571076638
127	0.09446632484
128	0.09374356207
129	0.09270645576
130	0.09183197677
131	0.09073727787
132	0.08999394551
133	0.08825071211
134	0.08700872288
135	0.08608235569
136	0.08472600753
137	0.08381781881
138	0.08253751167
139	0.08154172368
140	0.08097595323
141	0.08004062012
142	0.07961515775
143	0.07919803246
144	0.07825569438
145	0.07732612178
146	0.07651089487
147	0.07576037084
148	0.07481221106
149	0.07405660644
150	0.07328035781
151	0.07254484595
152	0.07177627276
153	0.07117863433
154	0.07045819015
155	0.06962306411
156	0.06903965385
157	0.06849566843
158	0.06759799599
159	0.06651391176
160	0.06549424091
161	0.0646772208
162	0.06400197902
163	0.06363355924
164	0.06254954565
165	0.06222433766
166	0.06163352759
167	0.06115267012
168	0.06057909178
169	0.05997519392
170	0.05949076647
171	0.05901465845
172	0.05873162658
173	0.05810623068
174	0.05726519464
175	0.05690681493
176	0.05634991959
177	0.05575835642
178	0.05516092487
179	0.05466939028
180	0.05399574426
181	0.05354498051
182	0.05292384208
183	0.05233262834
184	0.05172031014
185	0.05111801687
186	0.05039107736
187	0.04955941533
188	0.04911323199
189	0.04845067938
190	0.04807081803
191	0.04773673683
192	0.04725335515
193	0.04659437629
194	0.04618712708
195	0.04588333387
196	0.04545167514
197	0.04514452011
198	0.04449249449
199	0.04396516432
200	0.04334585881
201	0.04308023024
202	0.0427810124
203	0.04223569234
204	0.04180062385
205	0.04146928257
206	0.04125506285
207	0.04067375042
208	0.04031755432
209	0.04004717378
210	0.03953565113
211	0.03924154605
212	0.03897126516
213	0.03867718909
214	0.03833491335
215	0.03806403705
216	0.03769479731
217	0.0373058912
218	0.03681859516
219	0.03653706697
220	0.03620971826
221	0.03586316613
222	0.03564307425
223	0.0353574715
224	0.03512221922
225	0.03473346322
226	0.034347789
227	0.03393744287
228	0.03353824313
229	0.03321240693
230	0.03287671357
231	0.03256106755
232	0.03227799784
233	0.03197290279
234	0.03174422153
235	0.03146259747
236	0.0312582185
237	0.03100018148
238	0.03065037349
239	0.03046771206
240	0.03018664305
241	0.02999830877
242	0.02983486211
243	0.02981493082
244	0.02952920571
245	0.02923761852
246	0.0289608423
247	0.02868139933
248	0.02838690571
249	0.02829312017
250	0.02797946224
251	0.02774640744
252	0.02746822847
253	0.02726567233
254	0.02712511512
255	0.02687605222
256	0.02668319051
257	0.0265806024
258	0.02639912802
259	0.0261785101
260	0.02602722153
261	0.02593651777
262	0.0257298139
263	0.02547580603
264	0.02531081785
265	0.02504222986
266	0.02478310797
267	0.02456106711
268	0.02445585387
269	0.02426271212
270	0.02409541922
271	0.02390882199
272	0.02369887236
273	0.02345478976
274	0.02325336265
275	0.02311481748
276	0.02292429329
277	0.0228498474
278	0.02267801825
279	0.02250132611
280	0.02231382188
281	0.02215765267
282	0.02203679337
283	0.02195381487
284	0.02184660851
285	0.02176296269
286	0.02161288261
287	0.02151241504
288	0.02141841883
289	0.02123676658
290	0.02105019837
291	0.02090185155
292	0.02077186171
293	0.02059792211
294	0.02037118352
295	0.02023307735
296	0.02008730015
297	0.01995424997
298	0.01983888313
299	0.0196755109
