Model,Accuracy,Precision_CKD,Recall_CKD,F1_CKD,ROC_AUC,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
RF_SMOTE,0.69,0.5238095238095238,0.9705882352941176,0.6804123711340206,0.8890374331550803,0.7478260869565216,0.6533976608187134,0.575,0.6089481670046453,0.7919545088566828
LogReg_SMOTE,0.67,0.509090909090909,0.8235294117647058,0.6292134831460674,0.7584670231729056,0.6506418219461698,0.4978824049513705,0.55,0.5217508663842896,0.6794967793880837
SVM_SMOTE,0.64,0.4807692307692308,0.7352941176470589,0.5813953488372093,0.766042780748663,0.6821532091097309,0.5472010796221322,0.475,0.5020480851045634,0.7010386473429951
XGB_SMOTE,0.73,0.574468085106383,0.7941176470588235,0.6666666666666666,0.8279857397504455,0.7049689440993788,0.5739144316730524,0.5833333333333334,0.576543159237991,0.7524074074074074
CatBoost_SMOTE,0.68,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.8596256684491979,0.7334989648033127,0.6053661700618223,0.6250000000000001,0.6142207040077826,0.7790740740740741
