model,imbalance_strategy,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RandomForest,tomek,0.73648033126294,0.629090909090909,0.5666666666666667,0.5960474308300394,0.7927093397745573,0.72,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.768270944741533,0.82,0.75,0.7058823529411765,0.7272727272727273,0.8502673796791445
LogisticRegression,tomek,0.7077018633540373,0.5653031674208144,0.6416666666666667,0.5989528501055595,0.7572584541062801,0.56,0.4074074074074074,0.6470588235294118,0.5,0.6702317290552585,0.73,0.5813953488372093,0.7352941176470589,0.6493506493506493,0.7829768270944741
XGBoost,tomek,0.7477846790890269,0.6385117056856188,0.625,0.6303812813326491,0.7947866344605476,0.78,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8128342245989304,0.79,0.6756756756756757,0.7352941176470589,0.704225352112676,0.8489304812834225
CatBoost,tomek,0.7564803312629399,0.6606114996114996,0.625,0.6395436261461105,0.8039331723027375,0.7,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.7825311942959001,0.76,0.6388888888888888,0.6764705882352942,0.6571428571428571,0.8186274509803921
