model,imbalance_strategy,cv_accuracy,cv_precision_macro,cv_recall_macro,cv_f1_macro,cv_roc_auc_ovr,test_roc_auc_ovr
RandomForest,cluster,0.7793374741200828,0.7572362387068269,0.7324106550832894,0.7351098364621707,0.8694528886047189,0.910402515870782
LogisticRegression,cluster,0.6017805383022774,0.5016820803895107,0.556885546489127,0.5121914222135422,0.7404806422205786,0.8072933801378074
XGBoost,cluster,0.7708074534161491,0.7296580795931397,0.7258356337704163,0.7189218347127914,0.859827572638548,0.8968312120169705
CatBoost,cluster,0.7249275362318841,0.6665594864623998,0.6977584947022287,0.6729762543044538,0.8584833689241996,0.889007164003294
