model,imbalance_strategy,cv_accuracy,cv_precision_macro,cv_recall_macro,cv_f1_macro,cv_roc_auc_ovr,test_roc_auc_ovr
RandomForest,tomek,0.7850517598343686,0.7468504153798271,0.7247623783813042,0.7267499954621108,0.8617518278849442,0.9051741095162148
LogisticRegression,tomek,0.6132505175983438,0.5096495396433477,0.5751689468057755,0.5205329920261814,0.7368537251922984,0.8121464516162659
XGBoost,tomek,0.7737060041407867,0.7113631142940606,0.7352241911257257,0.7160152443584282,0.85303337224796,0.9114451923778549
CatBoost,tomek,0.7423188405797102,0.6964800691850875,0.7191147038525555,0.6999393347519542,0.8529373110331131,0.8983977025153496
