model,imbalance_strategy,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RandomForest,cluster,0.7363975155279503,0.6200466200466199,0.6083333333333333,0.6135072463768115,0.7918317230273753,0.66,0.5,0.5294117647058824,0.5142857142857142,0.7718360071301248,0.85,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8631907308377896
LogisticRegression,cluster,0.7020289855072465,0.5548484848484849,0.7083333333333334,0.621018321553558,0.755378421900161,0.52,0.3793103448275862,0.6470588235294118,0.4782608695652174,0.6613190730837789,0.71,0.5531914893617021,0.7647058823529411,0.6419753086419753,0.7892156862745098
XGBoost,cluster,0.7305590062111802,0.6018730158730159,0.6416666666666667,0.6205251331301752,0.8040660225442833,0.78,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8181818181818181,0.8,0.6944444444444444,0.7352941176470589,0.7142857142857143,0.8471479500891266
CatBoost,cluster,0.756438923395445,0.6391820353559485,0.675,0.6559609873409264,0.80237922705314,0.78,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8146167557932263,0.77,0.6341463414634146,0.7647058823529411,0.6933333333333334,0.839572192513369
